sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,hasReadProb.started,hasReadProb.stopped,hasReadProbResp.keys,hasReadProbResp.rt,hasReadProbResp.started,hasReadProbResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
44,False,transitive,False,The cake crumbled the cook.,0,15,15,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.65983020002022,None,120.66153459995985,121.67650109995157,n,1.423277199966833,121.65983020002022,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
62,False,intransitive,False,The assistant shut at six o’clock.,0,16,16,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1122703999281,None,123.12065329984762,124.12894349987619,n,1.2752843999769539,124.1122703999281,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
52,False,intransitive,False,The leaves clogged after the rain.,0,17,17,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.41472960007377,None,125.41545259999111,126.43140510004014,n,1.924676900031045,126.41472960007377,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
19,True,intransitive,True,The boat sank in the storm.,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.36747789988294,None,128.37161409994587,129.3840055000037,y,1.2758526001125574,129.36747789988294,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
39,False,transitive,True,The sun hardened the sand.,0,19,19,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.66969299991615,None,130.6706508998759,131.66969299991615,y,1.7177290001418442,131.66969299991615,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
24,True,intransitive,False,The sun hardened in the concrete.,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.40604989998974,None,133.41106249997392,134.42268639989197,n,1.5496231000870466,134.40604989998974,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
56,False,intransitive,False,The baker dissolved in the milk.,0,21,21,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.97526509989984,None,135.98007340007462,136.9919527999591,n,1.9400392998941243,136.97526509989984,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
9,True,transitive,True,The heat softened the butter.,0,22,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.92818080005236,None,138.95003529987298,139.96141829993576,y,1.8113929000683129,139.92818080005236,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
15,True,transitive,True,The girl tore her sweater.,0,23,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.76411419990472,None,141.7694486998953,142.78096390003338,n,2.4232761999592185,142.76411419990472,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
54,False,intransitive,False,The table poured over the wine.,0,24,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.21783169987611,None,145.22262070002034,146.23444959986955,n,1.8175883998628706,146.21783169987611,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
